joint id: 0, measured_angle: -0.001588, target_angle: 0.004998, newest_measurement_index: 11541
joint id: 1, measured_angle: -0.106673, target_angle: -0.099947, newest_measurement_index: 11654
joint id: 2, measured_angle: -0.002669, target_angle: -0.009360, newest_measurement_index: 11654
joint id: 3, measured_angle: -0.001135, target_angle: 0.005730, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.110250, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.007442, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.015145, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.005068, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.008663, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001588, target_angle: 0.005298, newest_measurement_index: 11542
joint id: 1, measured_angle: -0.106673, target_angle: -0.099647, newest_measurement_index: 11655
joint id: 2, measured_angle: -0.002704, target_angle: -0.009660, newest_measurement_index: 11656
joint id: 3, measured_angle: -0.001135, target_angle: 0.006030, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.109950, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.007742, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.015445, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.005368, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.008963, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001553, target_angle: 0.005598, newest_measurement_index: 11543
joint id: 1, measured_angle: -0.106638, target_angle: -0.099347, newest_measurement_index: 11656
joint id: 2, measured_angle: -0.002704, target_angle: -0.009960, newest_measurement_index: 11657
joint id: 3, measured_angle: -0.001135, target_angle: 0.006330, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.109650, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.008042, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.015745, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.005668, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.009263, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001553, target_angle: 0.005898, newest_measurement_index: 11544
joint id: 1, measured_angle: -0.106638, target_angle: -0.099047, newest_measurement_index: 11657
joint id: 2, measured_angle: -0.002704, target_angle: -0.010260, newest_measurement_index: 11658
joint id: 3, measured_angle: -0.001135, target_angle: 0.006630, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.109350, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.008342, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.016045, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.005968, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.009563, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001518, target_angle: 0.006198, newest_measurement_index: 11545
joint id: 1, measured_angle: -0.106603, target_angle: -0.098747, newest_measurement_index: 11659
joint id: 2, measured_angle: -0.002704, target_angle: -0.010560, newest_measurement_index: 11659
joint id: 3, measured_angle: -0.001135, target_angle: 0.006930, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.109050, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.008642, newest_measurement_index: 9551
