joint id: 3, measured_angle: 0.001550, target_angle: 0.006950, newest_measurement_index: 5242
joint id: 4, measured_angle: 0.001341, target_angle: 0.006741, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.018014, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.028694, newest_measurement_index: 4994
joint id: 7, measured_angle: -0.021449, target_angle: -0.016049, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.010615, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010813, target_angle: -0.005287, newest_measurement_index: 9982
joint id: 1, measured_angle: -0.010290, target_angle: -0.004764, newest_measurement_index: 10060
joint id: 2, measured_angle: 0.016633, target_angle: 0.011108, newest_measurement_index: 10060
joint id: 3, measured_angle: 0.001550, target_angle: 0.007250, newest_measurement_index: 5242
joint id: 4, measured_angle: 0.001341, target_angle: 0.007041, newest_measurement_index: 5265
joint id: 5, measured_angle: 0.023414, target_angle: 0.017714, newest_measurement_index: 5265
joint id: 6, measured_angle: 0.023294, target_angle: 0.028994, newest_measurement_index: 4994
joint id: 7, measured_angle: -0.021449, target_angle: -0.015749, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.010915, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010813, target_angle: -0.004987, newest_measurement_index: 9983
joint id: 1, measured_angle: -0.010290, target_angle: -0.004464, newest_measurement_index: 10061
joint id: 2, measured_angle: 0.016633, target_angle: 0.010808, newest_measurement_index: 10061
joint id: 3, measured_angle: 0.001550, target_angle: 0.007550, newest_measurement_index: 5243
joint id: 4, measured_angle: 0.001341, target_angle: 0.007341, newest_measurement_index: 5265
joint id: 5, measured_angle: 0.023414, target_angle: 0.017414, newest_measurement_index: 5265
joint id: 6, measured_angle: 0.023294, target_angle: 0.029294, newest_measurement_index: 4995
joint id: 7, measured_angle: -0.021449, target_angle: -0.015449, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.011215, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010778, target_angle: -0.004687, newest_measurement_index: 9984
joint id: 1, measured_angle: -0.010290, target_angle: -0.004164, newest_measurement_index: 10062
joint id: 2, measured_angle: 0.016598, target_angle: 0.010508, newest_measurement_index: 10062
joint id: 3, measured_angle: 0.001550, target_angle: 0.007850, newest_measurement_index: 5243
joint id: 4, measured_angle: 0.001341, target_angle: 0.007641, newest_measurement_index: 5265
joint id: 5, measured_angle: 0.023414, target_angle: 0.017114, newest_measurement_index: 5265
joint id: 6, measured_angle: 0.023294, target_angle: 0.029594, newest_measurement_index: 4995
joint id: 7, measured_angle: -0.021449, target_angle: -0.015149, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.011515, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010778, target_angle: -0.004387, newest_measurement_index: 9985
joint id: 1, measured_angle: -0.010255, target_angle: -0.003864, newest_measurement_index: 10063
joint id: 2, measured_angle: 0.016598, target_angle: 0.010208, newest_measurement_index: 10063
joint id: 3, measured_angle: 0.001550, target_angle: 0.008150, newest_measurement_index: 5243
joint id: 4, measured_angle: 0.001341, target_angle: 0.007941, newest_measurement_index: 5266
joint id: 5, measured_angle: 0.023414, target_angle: 0.016814, newest_measurement_index: 5266
joint id: 6, measured_angle: 0.023294, target_angle: 0.029894, newest_measurement_index: 4996
joint id: 7, measured_angle: -0.021449, target_angle: -0.014849, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.011815, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010778, target_angle: -0.004087, newest_measurement_index: 9986
joint id: 1, measured_angle: -0.010255, target_angle: -0.003564, newest_measurement_index: 10064
joint id: 2, measured_angle: 0.016564, target_angle: 0.009908, newest_measurement_index: 10064
joint id: 3, measured_angle: 0.001550, target_angle: 0.008450, newest_measurement_index: 5244
joint id: 4, measured_angle: 0.001341, target_angle: 0.008241, newest_measurement_index: 5266
joint id: 5, measured_angle: 0.023414, target_angle: 0.016514, newest_measurement_index: 5266
joint id: 6, measured_angle: 0.023294, target_angle: 0.030194, newest_measurement_index: 4996
joint id: 7, measured_angle: -0.021449, target_angle: -0.014549, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.012115, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010743, target_angle: -0.003787, newest_measurement_index: 9987
joint id: 1, measured_angle: -0.010255, target_angle: -0.003264, newest_measurement_index: 10065
joint id: 2, measured_angle: 0.016529, target_angle: 0.009608, newest_measurement_index: 10065
joint id: 3, measured_angle: 0.001550, target_angle: 0.008750, newest_measurement_index: 5244
joint id: 4, measured_angle: 0.001341, target_angle: 0.008541, newest_measurement_index: 5266
joint id: 5, measured_angle: 0.023414, target_angle: 0.016214, newest_measurement_index: 5266
joint id: 6, measured_angle: 0.023294, target_angle: 0.030494, newest_measurement_index: 4996
joint id: 7, measured_angle: -0.021449, target_angle: -0.014249, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.012415, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010743, target_angle: -0.003487, newest_measurement_index: 9988
joint id: 1, measured_angle: -0.010220, target_angle: -0.002964, newest_measurement_index: 10066
joint id: 2, measured_angle: 0.016494, target_angle: 0.009308, newest_measurement_index: 10066
joint id: 3, measured_angle: 0.001550, target_angle: 0.009050, newest_measurement_index: 5244
joint id: 4, measured_angle: 0.001341, target_angle: 0.008841, newest_measurement_index: 5267
joint id: 5, measured_angle: 0.023414, target_angle: 0.015914, newest_measurement_index: 5267
joint id: 6, measured_angle: 0.023294, target_angle: 0.030794, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.013949, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.012715, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010743, target_angle: -0.003187, newest_measurement_index: 9989
joint id: 1, measured_angle: -0.010220, target_angle: -0.002664, newest_measurement_index: 10067
joint id: 2, measured_angle: 0.016459, target_angle: 0.009008, newest_measurement_index: 10067
joint id: 3, measured_angle: 0.001550, target_angle: 0.009350, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.009141, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.015614, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.031094, newest_measurement_index: 4997
