joint id: 6, measured_angle: 0.008280, target_angle: 0.013380, newest_measurement_index: 9296
joint id: 7, measured_angle: -0.002111, target_angle: 0.003093, newest_measurement_index: 9399
joint id: 8, measured_angle: -0.001867, target_angle: -0.006967, newest_measurement_index: 9399
joint id: 0, measured_angle: -0.002653, target_angle: 0.002537, newest_measurement_index: 11791
joint id: 1, measured_angle: -0.098443, target_angle: -0.093183, newest_measurement_index: 11908
joint id: 2, measured_angle: -0.002320, target_angle: -0.007581, newest_measurement_index: 11908
joint id: 3, measured_angle: -0.001030, target_angle: 0.004370, newest_measurement_index: 9508
joint id: 4, measured_angle: -0.107595, target_angle: -0.102195, newest_measurement_index: 9616
joint id: 5, measured_angle: -0.000507, target_angle: -0.005907, newest_measurement_index: 9616
joint id: 6, measured_angle: 0.008280, target_angle: 0.013680, newest_measurement_index: 9296
joint id: 7, measured_angle: -0.002111, target_angle: 0.003393, newest_measurement_index: 9400
joint id: 8, measured_angle: -0.001867, target_angle: -0.007267, newest_measurement_index: 9400
joint id: 0, measured_angle: -0.002653, target_angle: 0.002837, newest_measurement_index: 11791
joint id: 1, measured_angle: -0.098408, target_angle: -0.092883, newest_measurement_index: 11909
joint id: 2, measured_angle: -0.002320, target_angle: -0.007881, newest_measurement_index: 11909
joint id: 3, measured_angle: -0.001030, target_angle: 0.004670, newest_measurement_index: 9508
joint id: 4, measured_angle: -0.107595, target_angle: -0.101895, newest_measurement_index: 9616
joint id: 5, measured_angle: -0.000507, target_angle: -0.006207, newest_measurement_index: 9616
joint id: 6, measured_angle: 0.008280, target_angle: 0.013980, newest_measurement_index: 9296
joint id: 7, measured_angle: -0.002111, target_angle: 0.003693, newest_measurement_index: 9400
joint id: 8, measured_angle: -0.001867, target_angle: -0.007567, newest_measurement_index: 9400
joint id: 0, measured_angle: -0.001902, target_angle: 0.003137, newest_measurement_index: 11793
joint id: 1, measured_angle: -0.098408, target_angle: -0.092583, newest_measurement_index: 11910
joint id: 2, measured_angle: -0.002320, target_angle: -0.008181, newest_measurement_index: 11910
joint id: 3, measured_angle: -0.001030, target_angle: 0.004970, newest_measurement_index: 9509
joint id: 4, measured_angle: -0.107595, target_angle: -0.101595, newest_measurement_index: 9616
joint id: 5, measured_angle: -0.000507, target_angle: -0.006507, newest_measurement_index: 9616
joint id: 6, measured_angle: 0.008280, target_angle: 0.014280, newest_measurement_index: 9297
joint id: 7, measured_angle: -0.002111, target_angle: 0.003993, newest_measurement_index: 9400
joint id: 8, measured_angle: -0.001867, target_angle: -0.007867, newest_measurement_index: 9400
joint id: 0, measured_angle: -0.001902, target_angle: 0.003437, newest_measurement_index: 11794
joint id: 1, measured_angle: -0.098408, target_angle: -0.092283, newest_measurement_index: 11911
joint id: 2, measured_angle: -0.002355, target_angle: -0.008481, newest_measurement_index: 11911
joint id: 3, measured_angle: -0.001030, target_angle: 0.005270, newest_measurement_index: 9509
joint id: 4, measured_angle: -0.107595, target_angle: -0.101295, newest_measurement_index: 9617
joint id: 5, measured_angle: -0.000507, target_angle: -0.006807, newest_measurement_index: 9617
joint id: 6, measured_angle: 0.008280, target_angle: 0.014580, newest_measurement_index: 9297
joint id: 7, measured_angle: -0.002111, target_angle: 0.004293, newest_measurement_index: 9401
joint id: 8, measured_angle: -0.001867, target_angle: -0.008167, newest_measurement_index: 9401
joint id: 0, measured_angle: -0.001867, target_angle: 0.003737, newest_measurement_index: 11795
joint id: 1, measured_angle: -0.098374, target_angle: -0.091983, newest_measurement_index: 11912
joint id: 2, measured_angle: -0.002355, target_angle: -0.008781, newest_measurement_index: 11912
joint id: 3, measured_angle: -0.001030, target_angle: 0.005570, newest_measurement_index: 9509
joint id: 4, measured_angle: -0.107595, target_angle: -0.100995, newest_measurement_index: 9617
joint id: 5, measured_angle: -0.000507, target_angle: -0.007107, newest_measurement_index: 9617
joint id: 6, measured_angle: 0.008280, target_angle: 0.014880, newest_measurement_index: 9298
joint id: 7, measured_angle: -0.002111, target_angle: 0.004593, newest_measurement_index: 9401
joint id: 8, measured_angle: -0.001867, target_angle: -0.008467, newest_measurement_index: 9401
joint id: 0, measured_angle: -0.001867, target_angle: 0.004037, newest_measurement_index: 11796
joint id: 1, measured_angle: -0.098374, target_angle: -0.091683, newest_measurement_index: 11913
joint id: 2, measured_angle: -0.002355, target_angle: -0.009081, newest_measurement_index: 11913
joint id: 3, measured_angle: -0.001030, target_angle: 0.005870, newest_measurement_index: 9510
joint id: 4, measured_angle: -0.107595, target_angle: -0.100695, newest_measurement_index: 9617
joint id: 5, measured_angle: -0.000507, target_angle: -0.007407, newest_measurement_index: 9618
joint id: 6, measured_angle: 0.008280, target_angle: 0.015180, newest_measurement_index: 9298
joint id: 7, measured_angle: -0.002076, target_angle: 0.004893, newest_measurement_index: 9402
joint id: 8, measured_angle: -0.001867, target_angle: -0.008767, newest_measurement_index: 9402
joint id: 0, measured_angle: -0.001867, target_angle: 0.004337, newest_measurement_index: 11797
joint id: 1, measured_angle: -0.098374, target_angle: -0.091383, newest_measurement_index: 11914
joint id: 2, measured_angle: -0.002355, target_angle: -0.009381, newest_measurement_index: 11914
joint id: 3, measured_angle: -0.001030, target_angle: 0.006170, newest_measurement_index: 9510
